size_aana,size_ropani,location,floors,house_age_years,price_npr
5.3,0.331,New Baneshwor,2.0,7,23385000.0
8.01,0.501,Chabahil,2.5,7,32212000.0
48.48,3.03,Baneshwor,1.0,29,168630000.0
2.13,0.133,Gongabu,1.0,24,6507000.0
2.84,0.177,Chabahil,2.0,27,14041000.0
19.7,1.231,Sanepa,0.0,24,95849000.0
10.11,0.632,Sanepa,3.0,17,56428000.0
14.3,0.894,Jhamsikhel,2.0,11,76335000.0
9.04,0.565,Budhanilkantha,2.0,17,25444000.0
2.56,0.16,Kalimati,2.5,17,10011000.0
18.68,1.167,Naxal,1.0,15,112555000.0
9.0,0.562,Kirtipur,2.0,17,25214000.0
7.06,0.441,Koteshwor,1.0,27,20122000.0
15.9,0.994,Kalanki,1.0,11,41815000.0
14.72,0.92,Budhanilkantha,2.5,2,44023000.0
56.32,3.52,Kalimati,2.0,7,188333000.0
25.44,1.59,Baluwatar,2.0,23,151707000.0
4.15,0.259,Sanepa,2.5,13,27075000.0
15.88,0.993,Lazimpat,0.0,6,92337000.0
9.76,0.61,Gongabu,2.0,6,31172000.0
18.34,1.146,Boudha,2.0,22,57551000.0
24.16,1.51,Boudha,3.0,21,79449000.0
13.4,0.838,Kalimati,2.0,5,47555000.0
16.53,1.033,Kirtipur,2.0,27,33504000.0
20.8,1.3,Kirtipur,0.0,29,37553000.0
9.51,0.594,Baneshwor,2.0,4,41175000.0
18.97,1.186,Kalimati,1.0,21,55993000.0
19.32,1.208,Kirtipur,2.0,29,41501000.0
7.13,0.446,Sanepa,1.0,16,38462000.0
18.35,1.147,New Baneshwor,2.0,18,68701000.0
19.74,1.234,Lazimpat,2.0,22,106846000.0
10.47,0.654,Budhanilkantha,2.0,1,32211000.0
16.37,1.023,Chabahil,1.0,8,60699000.0
16.57,1.036,Sanepa,2.0,19,88330000.0
9.16,0.573,Jhamsikhel,3.0,6,53253000.0
11.75,0.734,Kalanki,1.0,9,31149000.0
19.68,1.23,Gongabu,2.0,19,53567000.0
17.89,1.118,Gongabu,1.0,22,46399000.0
17.24,1.077,Sanepa,3.0,19,93207000.0
16.14,1.009,Chabahil,2.0,7,61466000.0
18.92,1.183,Sanepa,0.0,24,92524000.0
19.9,1.244,Baneshwor,2.5,3,84724000.0
5.22,0.326,Baluwatar,2.0,23,34887000.0
11.16,0.698,Baluwatar,1.0,21,69645000.0
19.62,1.226,Kirtipur,3.0,18,46754000.0
14.04,0.877,Kirtipur,1.0,0,34457000.0
12.3,0.769,Boudha,0.0,16,38859000.0
8.66,0.541,Kirtipur,3.0,8,24426000.0
19.4,1.212,Boudha,3.0,2,72148000.0
7.7,0.481,Bhaktapur,2.0,17,17744000.0
18.74,1.171,Budhanilkantha,0.0,13,46030000.0
17.28,1.08,Naxal,2.5,8,109399000.0
7.34,0.459,Bhaktapur,2.5,25,18395000.0
3.28,0.205,Boudha,2.5,13,19696000.0
2.5,0.156,Gongabu,0.0,1,6594000.0
19.67,1.229,Kalanki,2.0,21,50734000.0
2.7,0.169,Baneshwor,2.0,14,14015000.0
19.37,1.211,Lazimpat,0.0,6,112237000.0
9.4,0.588,Boudha,2.0,2,33638000.0
9.8,0.613,Baluwatar,0.0,25,57201000.0
3.46,0.216,Lazimpat,2.0,8,21768000.0
13.88,0.868,Baneshwor,2.0,20,54244000.0
11.98,0.749,Boudha,2.5,21,41209000.0
2.26,0.141,Sanepa,0.0,13,11166000.0
55.84,3.49,Budhanilkantha,1.0,19,132742000.0
9.17,0.573,Kirtipur,3.0,9,26495000.0
28.96,1.81,Jhamsikhel,3.0,25,143923000.0
3.27,0.204,Boudha,3.0,22,15424000.0
18.92,1.183,Gongabu,2.0,23,49459000.0
18.95,1.184,Boudha,2.5,2,70199000.0
