student_id,province,gender,age,study_hours_per_week,attendance_percent,family_income_npr,internet_access,math_marks,science_marks,english_marks,social_marks
1,Lumbini,Female,15,17.0,88.2,24200,Yes,49,58,63,43
2,Bagmati,Female,16,11.0,85.5,14600,Yes,45,60,51,59
3,Karnali,Male,16,13.5,74.6,37100,Yes,50,58,68,61
4,Lumbini,Male,15,2.4,84.6,37500,Yes,51,39,44,56
5,Koshi,Male,17,7.4,84.4,13800,Yes,8,12,58,57
6,Sudurpashchim,Male,16,10.8,99.4,33300,Yes,47,51,76,68
7,Lumbini,Male,15,7.7,92.2,42900,Yes,70,75,75,67
8,Lumbini,Female,16,14.9,85.1,35900,Yes,80,74,76,86
9,Koshi,Male,15,20.0,87.0,40800,Yes,40,39,42,45
10,Bagmati,Male,17,7.3,85.4,14700,No,52,28,52,39
11,Bagmati,Female,16,8.7,83.4,35100,Yes,46,41,54,47
12,Sudurpashchim,Female,16,12.9,76.3,25600,Yes,39,41,39,31
13,Gandaki,Male,14,18.4,83.8,23400,No,53,70,67,67
14,Lumbini,Female,16,7.1,79.0,45900,Yes,45,66,67,63
15,Bagmati,Female,14,13.0,75.0,62300,Yes,53,33,46,46
16,Madhesh,Female,15,19.3,89.1,72900,No,64,70,70,85
17,Bagmati,Male,15,5.4,88.1,57400,Yes,40,47,39,48
18,Koshi,Male,16,6.9,70.7,28100,Yes,31,26,47,47
19,Lumbini,Female,15,10.3,84.0,35500,Yes,58,65,75,64
20,Gandaki,Male,16,9.9,93.0,43600,Yes,51,51,58,48
21,Lumbini,Male,16,15.3,93.5,31600,Yes,62,62,77,69
22,Madhesh,Male,14,13.0,93.2,31700,Yes,46,28,48,47
23,Sudurpashchim,Female,14,4.9,85.3,44900,Yes,69,61,72,57
24,Karnali,Female,14,14.1,78.2,28900,Yes,65,57,69,64
25,Lumbini,Male,15,9.7,76.3,20600,Yes,51,46,53,52
26,Madhesh,Female,16,17.1,87.8,24200,Yes,79,61,69,69
27,Bagmati,Male,15,9.5,88.0,40800,Yes,35,36,60,40
28,Koshi,Female,16,9.5,95.3,29800,No,67,64,69,66
29,Koshi,Female,14,14.2,93.8,35200,Yes,67,59,59,60
30,Lumbini,Male,16,15.1,83.9,41600,Yes,68,54,65,61
31,Lumbini,Male,16,13.8,75.0,24700,Yes,41,46,57,57
32,Sudurpashchim,Male,16,5.3,82.4,43400,Yes,41,41,39,52
33,Madhesh,Female,16,14.2,86.7,35900,Yes,76,50,77,67
34,Bagmati,Female,16,7.9,83.4,16000,Yes,57,54,57,53
35,Bagmati,Female,14,12.9,80.4,61200,Yes,65,61,61,68
36,Madhesh,Female,15,6.3,87.0,23100,No,49,48,62,56
37,Koshi,Male,15,13.8,81.0,13000,No,59,65,69,61
38,Bagmati,Female,15,8.8,80.0,17600,Yes,49,31,44,54
39,Madhesh,Male,16,6.9,87.5,17800,Yes,69,54,86,79
40,Gandaki,Male,15,14.9,81.8,30500,Yes,45,44,53,55
41,Bagmati,Female,16,13.0,87.0,25900,Yes,70,67,74,82
42,Lumbini,Female,15,9.5,87.2,25100,Yes,62,65,80,63
43,Lumbini,Male,16,17.8,75.9,40500,No,57,47,59,56
44,Madhesh,Female,15,10.2,81.2,35200,No,94,76,78,76
